,videoId,textOriginal,authorDisplayName,likeCount,publishedAt
33,UgxeMO0EuvI3fSZEl8Z4AaABAg,ycV6bF_er3c,"Шановна Тетяно,у вас прекрасне відчуття мови! Цілком погоджуюсь з вами - українська мова багатіша,передає більшу палітру відтінків,нюансів,змісту!А все руське - хуйня, лайно,блювотиння!",Ольга Гладких,2022-10-04T17:34:00Z
34,Ugyvf8tTu-8kRF7mT7Z4AaABAg,ycV6bF_er3c,"Дякую тобі Боже, що не дивлячись на те, що я  народилася в самий розквіт совка, в повністю русифікованому місті, де не було жодної української школи, ти мене уберіг від ""Капітошки"" російською. Це просто якийсь жах.",Anna Chern,2022-10-04T17:32:41Z
35,UgzcyRqaydGo9a1FycJ4AaABAg,ycV6bF_er3c,Бажаю здоров'ячка всім українцям і україночкам💗🤗,Юлия Лымарь,2022-10-04T17:26:37Z
36,Ugx02nGu3Baqznt4Irl4AaABAg,ycV6bF_er3c,"То ,мабуть, і всі рос.пісні,якщо їх проаналізувати, є  набором слів простих до такої степені,що легко запоминаються простими людьми,а тому і крристуються попитом серед таких простих людей,бо не для них високе...",Lubov Horbach,2022-10-04T17:09:41Z
37,UgwdH46NliNIAxRJRJR4AaABAg,ycV6bF_er3c,Улюблені мультфільми!,Ольга Герасимюк,2022-10-04T17:07:57Z
38,UgzHv180oMfPRKQS6A94AaABAg,ycV6bF_er3c,Ааааа))))),Ahr Ahr,2022-10-04T17:05:23Z
39,UgwTeudMchWgRm0Xg-V4AaABAg,ycV6bF_er3c,Дякую  !     Слава Україні !  Героям Слава  !  ЗСУ найкращі  ! 💙💛🌼,Inna Chery,2022-10-04T17:04:55Z
40,UgwJY_zrq2UYXqkLKLZ4AaABAg,ycV6bF_er3c,"Навіть не підозрював, що у ""П'яточкіна"" та ""Капітошки"" є версії бруднодупою мовою",MrStekolshik,2022-10-04T16:57:12Z
41,UgyNtCoOQWD4NVJlItF4AaABAg,ycV6bF_er3c,"Я, цей етер про мультики, передивилась разів п‘ять. Яка разюча різниця в перекладах. Сподіваюсь скоро побачити нові етери.  Здоров‘я пані Тетяні і синочкові❤❤❤",Галина Струк,2022-10-04T16:50:01Z
42,UgwPs2gp_3XzCOGITh54AaABAg,ycV6bF_er3c,"7-8
Таке собі 👉👈",Владик СКІФ,2022-10-04T16:44:20Z
43,UgzO06N-zE7ImKD13Wh4AaABAg,ycV6bF_er3c,Титри титрують😁🙃,Julia Bilan,2022-10-04T16:43:24Z
44,UgyttbzJQxCbVkt8r8Z4AaABAg,ycV6bF_er3c,"Дуже дякую, важливу роботу робите.",Сергій Покарець,2022-10-04T16:42:29Z
45,UgwmJphju0K5j5vaL454AaABAg,ycV6bF_er3c,Отпетіх смугліх оборванцев😀😀😀😀😀😀,Troll Quantum,2022-10-04T16:38:53Z
46,UgzYoh50m3HnUKekW1B4AaABAg,ycV6bF_er3c,П'ять слів для підняття рейтингу,Troll Quantum,2022-10-04T16:37:57Z
47,UgygQZdCYK3zVIxpuip4AaABAg,ycV6bF_er3c,"Про російський варіант Петрика та Капітошки дізналася тільки,коли стала мамою. Це жах! 🤦",Cgenybr999 Dask,2022-10-04T16:37:08Z
48,UgyHskCTNGDXfPwt2SR4AaABAg,ycV6bF_er3c,"І мені дуже подобався мультик про курчатко в клітиночку. Взагалі, наші мультики російською  - це дійсно гидотно.",Ніна Амельчева,2022-10-04T16:36:55Z
49,Ugwod48c8I9qWoIPBQZ4AaABAg,ycV6bF_er3c,Потухав над русскім перекладом усе відео 😅😁Дякую за такий контент,My Dreams,2022-10-04T16:33:57Z
50,UgyQGB_Xfro_UwT85wl4AaABAg,ycV6bF_er3c,"Цікаво про переклади росписьменів з української є у Корнія Чуковського в спогадах, який рецензував ту гидотну працю.",Victor Cool,2022-10-04T16:33:13Z
51,UgzciEtbbncp9w0mJ8N4AaABAg,ycV6bF_er3c,ДЯКУЮ!),Наталя Мельник,2022-10-04T16:32:47Z
52,Ugz9M8CavD9a5SDv9Tp4AaABAg,ycV6bF_er3c,При нагоді хочу сказати - Геть Абдристовича з медіапростору!,Admin,2022-10-04T16:32:26Z
53,Ugwvizc6p2potC6Bbg14AaABAg,ycV6bF_er3c,"Дякую за контент, це топ, тре ще!",Mykhailo Parovyi,2022-10-04T16:32:04Z
54,UgxOP-pVdY5hrOG2m4V4AaABAg,ycV6bF_er3c,"Знову запізнився на кілька хвилин. Мій лайк тільки другий.
Дякую, ""Ragulivna""!",Ukraine. A Reminder!,2022-10-04T16:31:35Z
55,UgyTS3--UY-3LoNIbyt4AaABAg,ycV6bF_er3c,Спасибі ❤️🖤,Mukhailo Bushtyn ꑭ,2022-10-04T16:27:30Z
56,UgyDieYDlTye3TkmjF94AaABAg,ycV6bF_er3c,Дякую 💙💛,Mukhailo Bushtyn ꑭ,2022-10-04T16:27:21Z
57,Ugzds5TDhCVVmZLR-nx4AaABAg,ycV6bF_er3c,Лайк за Вашу роботу..,наталя гордійчук,2022-10-04T16:25:34Z
58,Ugz0lDNU8N91GUwclAF4AaABAg,ycV6bF_er3c,"Лайк зразу, мій перший )))",Сергей Морозов,2022-10-04T16:18:52Z
59,UgyTkMa3kOuUfca5km14AaABAg,ycV6bF_er3c,Навіщо нам турбуватися про російський переклад?,just1ooking,2022-10-04T16:18:23Z
